BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2120,7157.218432998151,4154.781568981196,-2.031175906779447e-6,0.0,0.0,5.206777714946942e-8,-2.4075977625780054e-10,0.0,0.0,-11312.0
t2121,9424.348032702163,2038.6520094125758,-4.2160716403868455e-5,0.0,0.0,4.639501114067316e-8,-4.1772740886464705e-10,0.0,0.0,-11463.0
t2122,12752.476889372076,2.077697499215049e-5,-1264.4769101947095,0.0,0.0,4.6087424385414963e-8,-4.2803504666260367e-10,0.0,0.0,-11488.0
t2123,15399.260304166863,4.7165432328446575e-5,-3887.260351377957,0.0,0.0,4.60877746072442e-8,-4.280232659038777e-10,0.0,0.0,-11512.0
t2124,16633.746845660862,4.734140552401124e-5,-5209.7468930479245,0.0,0.0,4.608812526959959e-8,-4.280114704060365e-10,0.0,0.0,-11424.0
t2125,17789.87591127573,4.693034075858903e-5,-6561.875958251729,0.0,0.0,4.608742438400346e-8,-4.280350466570721e-10,0.0,0.0,-11228.0
t2126,18933.988576857024,1.0831911178643667e-5,-7825.98858773433,0.0,0.0,4.583004647499959e-8,-4.367202450536968e-10,0.0,0.0,-11108.0
t2127,18696.570835820687,1.0814272742882448e-5,-7810.570846680356,0.0,0.0,4.583004647167106e-8,-4.367202451182176e-10,0.0,0.0,-10886.0
t2128,18475.71411493604,1.0794806904500667e-5,-7792.714125776243,0.0,0.0,4.583004647081424e-8,-4.3672024510143594e-10,0.0,0.0,-10683.0
t2129,17805.60879637583,4.673223388117193e-5,-7204.608843153725,0.0,0.0,4.6087424316210803e-8,-4.2803504879895373e-10,0.0,0.0,-10601.0
t2130,16189.999896815087,4.946932379667215e-5,-5595.999946330075,0.0,0.0,4.609234763359176e-8,-4.2786944753842514e-10,0.0,0.0,-10594.0
t2131,14292.750657969582,4.952208038764816e-5,-3633.7507075373273,0.0,0.0,4.609270407557683e-8,-4.278574590092268e-10,0.0,0.0,-10659.0
t2132,13656.869731380402,4.9568992239073387e-5,-2407.869780995064,0.0,0.0,4.609306097044948e-8,-4.2784545546722645e-10,0.0,0.0,-11249.0
t2133,13807.27169641439,4.960967223548173e-5,-2560.271746069726,0.0,0.0,4.609341831261034e-8,-4.2783343685703455e-10,0.0,0.0,-11247.0
t2134,13222.37517125406,4.964369128371429e-5,-2487.3752209434197,0.0,0.0,4.6093776104228235e-8,-4.278214031248181e-10,0.0,0.0,-10735.0
t2135,13183.382069717181,4.967057079593369e-5,-3261.3821194334178,0.0,0.0,4.609413434574275e-8,-4.2780935427808724e-10,0.0,0.0,-9922.0
t2136,12650.4763462262,4.968977688826855e-5,-3615.476395961644,0.0,0.0,4.6094493039424835e-8,-4.277972902705997e-10,0.0,0.0,-9035.0
t2137,12106.429736508773,4.970070879018089e-5,-3770.429786255148,0.0,0.0,4.609485218788746e-8,-4.2778521109050073e-10,0.0,0.0,-8336.0
t2138,12089.718407241211,4.9702686878753914e-5,-4135.7184569895635,0.0,0.0,4.6095211793634867e-8,-4.2777311673040723e-10,0.0,0.0,-7954.0
t2139,11922.605114212754,4.96949372663818e-5,-4163.605163953359,0.0,0.0,4.609557185696027e-8,-4.277610071567201e-10,0.0,0.0,-7759.0
t2140,10749.098433896173,4.967657065494908e-5,-3050.098483618416,0.0,0.0,4.609593237865636e-8,-4.2774888233144435e-10,0.0,0.0,-7699.0
t2141,9581.162196704516,4.964655414292456e-5,-1819.1622463967396,0.0,0.0,4.609629335845318e-8,-4.2773674226153296e-10,0.0,0.0,-7762.0
t2142,8392.801001480291,4.960367955260888e-5,-339.8010511296406,0.0,0.0,4.6096654803717053e-8,-4.277245867402329e-10,0.0,0.0,-8053.0
t2143,9464.078273210604,4.9546494625262294e-5,-880.0783228027675,0.0,0.0,4.609701669678207e-8,-4.277124163469412e-10,0.0,0.0,-8584.0
